@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.53,0.583,11,-11.645,0,0.0591,0.125,0.677,0.0956,0.0482,138.04,226254,4,1
0.632,0.542,9,-6.8,0,0.0353,0.461,0.000029,0.0864,0.314,84.996,165797,4,1
0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947,4,1
0.528,0.144,8,-13.861,1,0.0358,0.956,0,0.136,0.398,125.38,145342,4,1
0.458,0.188,6,-15.531,0,0.0298,0.855,0.0116,0.11,0.334,88.778,124680,4,1
0.537,0.837,0,-4.477,1,0.039,0.19,0,0.348,0.533,90.083,206120,4,1
0.61,0.621,11,-8.159,0,0.0779,0.0216,0.000176,0.119,0.0824,115.975,231083,4,1
0.638,0.679,4,-5.278,1,0.0425,0.0016,0.00655,0.121,0.596,81.045,181880,4,1
0.433,0.563,10,-6.979,0,0.0275,0.0449,0.00371,0.101,0.434,79.001,197710,4,1
0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4,1
0.842,0.666,3,-2.662,0,0.0653,0.358,0.000001,0.126,0.799,123.957,187838,4,1
0.575,0.714,0,-5.603,1,0.0344,0.17,0,0.17,0.437,136.984,228221,4,1
0.597,0.771,5,-10.717,1,0.0394,0.0111,0.000005,0.0987,0.811,104.008,186681,4,1
0.88,0.675,4,-5.035,1,0.0359,0.284,0,0.103,0.561,114.022,196320,4,1
0.738,0.47,8,-9.127,1,0.0494,0.113,0.000018,0.159,0.439,137.955,216009,4,1
0.699,0.466,2,-11.781,1,0.0287,0.777,0.000447,0.0938,0.547,120.914,233417,4,1
0.847,0.727,0,-6.169,1,0.0485,0.0107,0.000024,0.0788,0.724,118.021,238373,4,1
0.666,0.633,0,-6.859,1,0.0374,0.00143,0.00319,0.133,0.743,145.639,148785,4,1
0.607,0.514,4,-6.631,1,0.0323,0.363,0,0.258,0.414,75.978,188291,4,1
0.684,0.369,6,-7.909,1,0.0259,0.358,0.000249,0.113,0.575,93.53,221653,4,1
0.851,0.815,11,-8.047,0,0.206,0.222,0,0.0777,0.866,100.012,261669,4,1
0.721,0.563,7,-6.862,0,0.0328,0.358,0.000274,0.182,0.473,76.49,190360,4,1
0.162,0.934,11,-2.332,1,0.0953,0.00106,0,0.412,0.39,180.088,137947,4,1
0.567,0.644,9,-8.148,1,0.0309,0.0577,0.000016,0.0743,0.359,155.8,239187,4,1
0.626,0.5,1,-10.096,1,0.0634,0.0382,0.388,0.13,0.264,111.606,163643,5,1
0.581,0.392,0,-11.045,0,0.0746,0.713,0.00518,0.147,0.563,150.071,142400,4,1
0.717,0.45,0,-7.035,0,0.0441,0.0392,0,0.112,0.71,142.989,255133,4,1
0.427,0.22,8,-15.633,1,0.0327,0.952,0.0217,0.0805,0.249,126.258,197649,4,1
0.705,0.187,1,-15.079,1,0.0472,0.738,0.000182,0.0893,0.573,107.272,115932,4,1
0.612,0.742,5,-4.198,0,0.0519,0.0176,0.000102,0.101,0.431,122.052,193399,4,1
0.761,0.528,7,-10.615,1,0.122,0.00246,0.000181,0.154,0.328,146.048,134520,4,1
0.577,0.936,11,-2.924,0,0.078,0.043,0.000017,0.413,0.899,168.879,170453,4,1
0.245,0.222,6,-11.704,1,0.0353,0.951,0.00114,0.105,0.232,97.94,244710,4,1
0.66,0.452,6,-10.433,1,0.0826,0.0365,0.000001,0.172,0.216,124.027,205264,4,1
0.734,0.724,7,-6.935,0,0.165,0.0387,0.000772,0.303,0.501,101.967,203427,4,1
0.322,0.248,7,-14.096,1,0.0336,0.802,0.00269,0.173,0.207,67.633,294596,4,1
0.638,0.642,7,-4.422,1,0.0639,0.00153,0.000004,0.0826,0.676,165.984,194323,4,1
